perturbation,dose_score,dvh_score,n_patients,delta_dose,delta_dvh,delta_dose_pct,delta_dvh_pct
baseline,3.730535984474139,2.5347358506864626,40,,,,
P1_noise/L3,3.7366101846385105,2.543309023482608,40,0.006074200164371657,0.008573172796145556,0.16282379233577837,0.33822746436571494
P2_bone_shift/L1,3.729671030470996,2.530819585745807,40,-0.0008649540031426817,-0.003916264940655445,-0.02318578367136718,-0.15450386830623136
P2_bone_shift/L2,3.7400305133861793,2.5442477775371435,40,0.0094945289120405,0.009511926850680918,0.2545084393115394,0.3752630416342941
P2_bone_shift/L3,3.750847465198956,2.5194140752376324,40,0.020311480724817255,-0.015321775448830177,0.5444654818865228,-0.6044722744849607
P2_bone_shift/L4,3.792684855197394,2.5718850322861897,40,0.06214887072325537,0.03714918159972713,1.6659501739671854,1.465603667919334
P3_bias_field/L3,3.736111653310091,2.534337260470457,40,0.0055756688359522855,-0.00039859021600552325,0.1494602614519007,-0.01572511849302073
P4_resolution/L1,3.7795741189803485,2.6360310886887843,40,0.04903813450620964,0.10129523800232176,1.31450640632601,3.9962837932358424
P4_resolution/L2,3.8848619718216737,2.7289288670214242,40,0.1543259873475349,0.19419301633496167,4.136831489893506,7.661272328726874
P4_resolution/L3,3.9819565086274977,2.823707267151153,40,0.2514205241533589,0.2889714164646904,6.739528185754773,11.400454859484885
P4_resolution/L4,4.124001608477247,2.9947613347047484,40,0.39346562400310825,0.4600254840182858,10.54716066647382,18.148853021260607
