perturbation,dose_score,dvh_score,n_patients,delta_dose,delta_dvh,delta_dose_pct,delta_dvh_pct
baseline,3.595453004002519,2.0594633198876,40,,,,
P1_noise/L3,3.595745227544554,2.062943952412258,40,0.00029222354203461975,0.0034806325246581338,0.008127586195934464,0.169006774291474
P2_bone_shift/L1,3.594477158876039,2.059180875139572,40,-0.0009758451264803014,-0.00028244474802807673,-0.02714108974290511,-0.013714483054910237
P2_bone_shift/L2,3.601959683593556,2.0680767927657633,40,0.006506679591036679,0.008613472878163275,0.18096967430232944,0.4182387127260599
P2_bone_shift/L3,3.5978980536620115,2.0640180198933176,40,0.0024450496594923266,0.00455470000571756,0.0680039387740698,0.22115955947038393
P2_bone_shift/L4,3.616482800668025,2.0864273343229067,40,0.021029796665505973,0.026964014435306716,0.5848997787509738,1.309273837262532
P3_bias_field/L3,3.59654206048177,2.0649290543733443,40,0.0010890564792509494,0.005465734485744278,0.030289826568129057,0.26539605891318246
P4_resolution/L1,3.547960223335159,2.072139087726359,40,-0.04749278066736018,0.012675767838759011,-1.3209122915663314,0.6154888856894436
P4_resolution/L2,3.524442746152592,2.0600830072739686,40,-0.07101025784992743,0.0006196873863686392,-1.9750016971679953,0.03008975107177243
P4_resolution/L3,3.501919881760139,2.066208516485402,40,-0.09353312224238008,0.006745196597802039,-2.6014280297436074,0.3275220555115385
P4_resolution/L4,3.481537492956055,2.054506609639681,40,-0.11391551104646425,-0.004956710247919105,-3.1683215138579635,-0.2406797052442589
